Country Name,Country Code,Series Name,Series Code,Year,Value
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,377.925421481395
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,513.906843747535
"Congo, Dem. Rep.",COD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,11804397525.6
"Congo, Dem. Rep.",COD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,82500000.0
"Congo, Dem. Rep.",COD,Lending interest rate (%),FR.INR.LEND,2000,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2000,3227927697.57921
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1024.30159109181
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,-0.881991517025431
"Congo, Rep.",COG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,4675949721.5
"Congo, Rep.",COG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,225059391.973169
"Congo, Rep.",COG,Lending interest rate (%),FR.INR.LEND,2000,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,2000,15013629661.8969
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3812.75388284924
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,10.9615496593622
Costa Rica,CRI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,4692408663.5
Costa Rica,CRI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,1318296304.08344
Costa Rica,CRI,Lending interest rate (%),FR.INR.LEND,2000,24.8891666666667
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,2000,16577533891.8785
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,936.636541348798
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.53077516737987
Cote d'Ivoire,CIV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,12059905375.8
Cote d'Ivoire,CIV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Cote d'Ivoire,CIV,Lending interest rate (%),FR.INR.LEND,2000,
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,2000,22134411297.473
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4953.65158789022
Croatia,HRV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.61131554737801
Croatia,HRV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Croatia,HRV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,3524350092.11558
Croatia,HRV,Lending interest rate (%),FR.INR.LEND,2000,12.0733333333333
